Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
171,Gri01.01,138,GRI,HIGH,0.04,6.7,1,0.1742,0.026,881,37,0.173,0.014705882,0.25,1
204,Gri01.13,138,GRI,HIGH,0.04,6.7,1,0.1989,0.0226,867,32,0.225,0.014705882,0.25,1
364,UnH: Cla12.04,138,GRI,HIGH,0.04,6.7,1,0.0951,0.024,993,50,0.142,0.014705882,0.25,1
574,UnL: Anz13.04,138,GRI,HIGH,0.04,6.7,1,0.1189,0.0263,664,88,0.0795,0.014705882,0.25,1
728,A. heermannii,138,GRI,HIGH,0.04,6.7,1,0.1934,0.066,950,94,0.1032,0.014705882,0.25,1
179,Gri01.01,138,GRI,HIGH,0.04,6.7,2,0.1497,0.0348,750,38,0.3421,0.014705882,0.25,1
207,Gri01.13,138,GRI,HIGH,0.04,6.7,2,0.1322,0.0294,638,47,0.2574,0.014705882,0.25,1
431,UnH: Cla12.04,138,GRI,HIGH,0.04,6.7,2,0.1211,0.0354,2074,87,0.1333,0.014705882,0.25,1
592,UnL: Anz13.04,138,GRI,HIGH,0.04,6.7,2,0.1247,0.0292,566,74,0.1932,0.014705882,0.25,1
787,A. heermannii,138,GRI,HIGH,0.04,6.7,2,0.1823,0.0727,1103,91,0.1275,0.014705882,0.25,1
186,Gri01.01,138,GRI,HIGH,0.04,6.7,3,0.2409,0.0392,2022,55,0.2927,0.014705882,0.25,1
217,Gri01.13,138,GRI,HIGH,0.04,6.7,3,0.1914,0.0319,901,48,0.2375,0.014705882,0.25,1
458,UnH: Cla12.04,138,GRI,HIGH,0.04,6.7,3,0.145,0.0423,3434,88,0.1125,0.014705882,0.25,1
631,UnL: Anz13.04,138,GRI,HIGH,0.04,6.7,3,0.0706,0.0178,607,40,0.2,0.014705882,0.25,1
820,A. heermannii,138,GRI,HIGH,0.04,6.7,3,0.1428,0.0609,879,62,0.1548,0.014705882,0.25,1
194,Gri01.01,138,GRI,HIGH,0.04,6.7,4,0.2247,0.0291,681,44,0.1409,0.014705882,0.25,1
220,Gri01.13,138,GRI,HIGH,0.04,6.7,4,0.21,0.0212,932,33,0.2758,0.014705882,0.25,1
503,UnH: Cla12.04,138,GRI,HIGH,0.04,6.7,4,0.1385,0.0216,543,68,0.1044,0.014705882,0.25,1
